"date	vehicle_category	maker	electric_vehicles_sold"
"8/1/2021	4-Wheelers	BMW India	0"
"9/1/2021	4-Wheelers	BMW India	0"
"10/1/2021	4-Wheelers	BMW India	0"
"11/1/2021	4-Wheelers	BMW India	0"
"12/1/2021	4-Wheelers	BMW India	0"
"1/1/2022	4-Wheelers	BMW India	0"
"2/1/2022	4-Wheelers	BMW India	0"
"4/1/2022	4-Wheelers	BMW India	12"
"4/1/2023	4-Wheelers	BMW India	51"
"5/1/2022	4-Wheelers	BMW India	6"
"5/1/2023	4-Wheelers	BMW India	57"
"6/1/2022	4-Wheelers	BMW India	4"
"6/1/2023	4-Wheelers	BMW India	76"
"7/1/2022	4-Wheelers	BMW India	4"
"7/1/2023	4-Wheelers	BMW India	81"
"8/1/2022	4-Wheelers	BMW India	19"
"8/1/2023	4-Wheelers	BMW India	64"
"9/1/2022	4-Wheelers	BMW India	21"
"9/1/2023	4-Wheelers	BMW India	58"
"10/1/2022	4-Wheelers	BMW India	4"
"10/1/2023	4-Wheelers	BMW India	71"
"11/1/2022	4-Wheelers	BMW India	14"
"11/1/2023	4-Wheelers	BMW India	215"
"12/1/2022	4-Wheelers	BMW India	27"
"12/1/2023	4-Wheelers	BMW India	137"
"1/1/2023	4-Wheelers	BMW India	91"
"1/1/2024	4-Wheelers	BMW India	116"
"2/1/2023	4-Wheelers	BMW India	43"
"2/1/2024	4-Wheelers	BMW India	97"
"3/1/2022	4-Wheelers	BMW India	7"
"3/1/2023	4-Wheelers	BMW India	40"
"3/1/2024	4-Wheelers	BMW India	55"
"4/1/2021	4-Wheelers	BYD India	0"
"5/1/2021	4-Wheelers	BYD India	0"
"6/1/2021	4-Wheelers	BYD India	0"
"7/1/2021	4-Wheelers	BYD India	0"
"8/1/2021	4-Wheelers	BYD India	0"
"9/1/2021	4-Wheelers	BYD India	0"
"10/1/2021	4-Wheelers	BYD India	0"
"11/1/2021	4-Wheelers	BYD India	0"
"4/1/2022	4-Wheelers	BYD India	15"
"4/1/2023	4-Wheelers	BYD India	156"
"5/1/2022	4-Wheelers	BYD India	30"
"5/1/2023	4-Wheelers	BYD India	110"
"6/1/2022	4-Wheelers	BYD India	36"
"6/1/2023	4-Wheelers	BYD India	140"
"7/1/2022	4-Wheelers	BYD India	32"
"7/1/2023	4-Wheelers	BYD India	89"
"8/1/2022	4-Wheelers	BYD India	33"
"8/1/2023	4-Wheelers	BYD India	80"
"9/1/2022	4-Wheelers	BYD India	48"
"9/1/2023	4-Wheelers	BYD India	141"
"10/1/2022	4-Wheelers	BYD India	27"
"10/1/2023	4-Wheelers	BYD India	109"
"11/1/2022	4-Wheelers	BYD India	39"
"11/1/2023	4-Wheelers	BYD India	106"
"12/1/2021	4-Wheelers	BYD India	1"
"12/1/2022	4-Wheelers	BYD India	37"
"12/1/2023	4-Wheelers	BYD India	135"
"1/1/2022	4-Wheelers	BYD India	8"
"1/1/2023	4-Wheelers	BYD India	101"
"1/1/2024	4-Wheelers	BYD India	123"
"2/1/2022	4-Wheelers	BYD India	10"
"2/1/2023	4-Wheelers	BYD India	174"
"2/1/2024	4-Wheelers	BYD India	135"
"3/1/2022	4-Wheelers	BYD India	14"
"3/1/2023	4-Wheelers	BYD India	348"
"3/1/2024	4-Wheelers	BYD India	142"
"4/1/2021	2-Wheelers	HERO ELECTRIC	759"
"4/1/2022	2-Wheelers	HERO ELECTRIC	6803"
"4/1/2023	2-Wheelers	HERO ELECTRIC	3293"
"5/1/2021	2-Wheelers	HERO ELECTRIC	170"
"5/1/2022	2-Wheelers	HERO ELECTRIC	2970"
"5/1/2023	2-Wheelers	HERO ELECTRIC	2085"
"6/1/2021	2-Wheelers	HERO ELECTRIC	1355"
"6/1/2022	2-Wheelers	HERO ELECTRIC	6836"
"6/1/2023	2-Wheelers	HERO ELECTRIC	1123"
"7/1/2021	2-Wheelers	HERO ELECTRIC	4557"
"7/1/2022	2-Wheelers	HERO ELECTRIC	9334"
"7/1/2023	2-Wheelers	HERO ELECTRIC	770"
"8/1/2021	2-Wheelers	HERO ELECTRIC	5527"
"8/1/2022	2-Wheelers	HERO ELECTRIC	9925"
"8/1/2023	2-Wheelers	HERO ELECTRIC	774"
"9/1/2021	2-Wheelers	HERO ELECTRIC	6727"
"9/1/2022	2-Wheelers	HERO ELECTRIC	8208"
"9/1/2023	2-Wheelers	HERO ELECTRIC	835"
"10/1/2021	2-Wheelers	HERO ELECTRIC	6799"
"10/1/2022	2-Wheelers	HERO ELECTRIC	8868"
"10/1/2023	2-Wheelers	HERO ELECTRIC	658"
"11/1/2021	2-Wheelers	HERO ELECTRIC	7493"
"11/1/2022	2-Wheelers	HERO ELECTRIC	9026"
"11/1/2023	2-Wheelers	HERO ELECTRIC	814"
"12/1/2021	2-Wheelers	HERO ELECTRIC	6402"
"12/1/2022	2-Wheelers	HERO ELECTRIC	8100"
"12/1/2023	2-Wheelers	HERO ELECTRIC	545"
"1/1/2022	2-Wheelers	HERO ELECTRIC	8238"
"1/1/2023	2-Wheelers	HERO ELECTRIC	6399"
"1/1/2024	2-Wheelers	HERO ELECTRIC	413"
"2/1/2022	2-Wheelers	HERO ELECTRIC	7773"
"2/1/2023	2-Wheelers	HERO ELECTRIC	5863"
"2/1/2024	2-Wheelers	HERO ELECTRIC	323"
"3/1/2022	2-Wheelers	HERO ELECTRIC	13652"
"3/1/2023	2-Wheelers	HERO ELECTRIC	6661"
"3/1/2024	2-Wheelers	HERO ELECTRIC	316"
"4/1/2021	4-Wheelers	Hyundai Motor	12"
"4/1/2022	4-Wheelers	Hyundai Motor	17"
"4/1/2023	4-Wheelers	Hyundai Motor	42"
